,법정동,년,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
53,가회동,2021.0,4088.0,171.0,320.0,475.0,535.0,694.0,709.0,567.0,391.0,195.0,31.0,0.0
54,가회동,2022.0,3941.0,168.0,297.0,445.0,511.0,655.0,681.0,572.0,376.0,203.0,33.0,0.0
55,갈월동,2012.0,7801.0,301.0,499.0,932.0,1251.0,1481.0,1588.0,929.0,586.0,170.0,43.0,21.0
56,갈월동,2013.0,7987.0,310.0,459.0,923.0,1246.0,1514.0,1703.0,968.0,610.0,182.0,51.0,21.0
57,갈월동,2014.0,8093.0,284.0,424.0,954.0,1169.0,1486.0,1772.0,1079.0,646.0,204.0,53.0,22.0
58,갈월동,2015.0,8115.0,274.0,389.0,1020.0,1151.0,1444.0,1741.0,1157.0,652.0,206.0,56.0,25.0
59,갈월동,2016.0,8064.0,267.0,359.0,1011.0,1135.0,1399.0,1731.0,1237.0,630.0,209.0,58.0,28.0
60,갈월동,2017.0,7974.0,272.0,326.0,972.0,1110.0,1308.0,1735.0,1280.0,638.0,252.0,55.0,26.0
61,갈월동,2018.0,7821.0,257.0,284.0,976.0,1060.0,1206.0,1718.0,1305.0,672.0,256.0,59.0,28.0
62,갈월동,2019.0,7771.0,230.0,272.0,974.0,1040.0,1187.0,1687.0,1323.0,690.0,274.0,61.0,33.0
63,갈월동,2020.0,7623.0,190.0,262.0,960.0,1041.0,1099.0,1625.0,1368.0,689.0,286.0,72.0,31.0
64,갈월동,2021.0,7351.0,172.0,260.0,942.0,1019.0,1034.0,1593.0,1381.0,619.0,283.0,42.0,6.0
65,갈월동,2022.0,7100.0,147.0,239.0,875.0,1031.0,926.0,1553.0,1401.0,611.0,286.0,28.0,3.0
66,갈현동,2012.0,29635.0,2132.0,3756.3333333333335,4043.3333333333335,4739.0,5149.666666666667,4716.333333333333,2875.6666666666665,1685.3333333333333,451.0,76.33333333333333,10.0
67,갈현동,2013.0,29578.666666666668,2071.3333333333335,3574.3333333333335,4052.3333333333335,4604.0,5148.666666666667,4825.333333333333,2955.3333333333335,1771.0,479.0,86.33333333333333,11.0
68,갈현동,2014.0,29607.666666666668,2042.3333333333333,3406.0,4053.3333333333335,4515.333333333333,5163.333333333333,4872.666666666667,3061.3333333333335,1869.0,524.3333333333334,86.33333333333333,13.666666666666666
69,갈현동,2015.0,29896.666666666668,2074.0,3223.0,4079.6666666666665,4554.333333333333,5162.0,4889.666666666667,3281.0,1949.6666666666667,579.3333333333334,90.33333333333333,13.666666666666666
70,갈현동,2016.0,30117.333333333332,2031.6666666666667,3070.3333333333335,4164.666666666667,4483.0,5150.666666666667,4939.0,3469.0,2042.6666666666667,655.6666666666666,96.0,14.666666666666666
71,갈현동,2017.0,29794.333333333332,1905.6666666666667,2875.3333333333335,4218.333333333333,4275.333333333333,5000.666666666667,4936.333333333333,3567.3333333333335,2171.3333333333335,726.0,102.0,16.0
72,갈현동,2018.0,29698.0,1813.6666666666667,2703.6666666666665,4267.0,4224.666666666667,4809.333333333333,4998.0,3683.0,2274.3333333333335,803.3333333333334,104.33333333333333,16.666666666666668
73,갈현동,2019.0,29209.666666666668,1683.3333333333333,2502.3333333333335,4272.333333333333,3997.6666666666665,4605.666666666667,4949.666666666667,3843.6666666666665,2352.0,865.0,121.0,17.0
74,갈현동,2020.0,28267.0,1460.6666666666667,2309.6666666666665,4189.0,3697.3333333333335,4391.333333333333,4826.333333333333,3929.6666666666665,2392.3333333333335,925.6666666666666,127.0,18.0
75,갈현동,2021.0,27441.0,1292.3333333333333,2177.6666666666665,4027.6666666666665,3562.3333333333335,4149.333333333333,4728.666666666667,4069.3333333333335,2329.6666666666665,985.3333333333334,115.33333333333333,3.3333333333333335
76,갈현동,2022.0,25570.0,1109.6666666666667,2008.6666666666667,3672.6666666666665,3321.6666666666665,3782.0,4462.0,3884.3333333333335,2206.6666666666665,1012.3333333333334,107.66666666666667,2.3333333333333335
77,강일동,2012.0,34497.0,5093.0,4549.0,3763.0,6406.0,5655.0,4395.0,2411.0,1535.0,582.0,104.0,4.0
78,강일동,2013.0,34346.0,5017.0,4531.0,3676.0,5969.0,5917.0,4455.0,2494.0,1558.0,615.0,109.0,5.0
79,강일동,2014.0,34040.0,4794.0,4513.0,3667.0,5491.0,6046.0,4546.0,2584.0,1650.0,640.0,104.0,5.0
80,강일동,2015.0,33886.0,4603.0,4423.0,3758.0,4989.0,6077.0,4665.0,2842.0,1707.0,708.0,108.0,6.0
81,강일동,2016.0,34201.0,4251.0,4453.0,4069.0,4701.0,6149.0,4815.0,3064.0,1790.0,784.0,117.0,8.0
82,강일동,2017.0,33549.0,3753.0,4545.0,4033.0,4140.0,6140.0,4867.0,3277.0,1857.0,808.0,118.0,11.0
83,강일동,2018.0,32781.0,3227.0,4569.0,3952.0,3807.0,5846.0,4946.0,3490.0,1938.0,851.0,145.0,10.0
84,강일동,2019.0,31973.0,2797.0,4487.0,3916.0,3391.0,5660.0,4991.0,3667.0,2002.0,900.0,147.0,15.0
85,강일동,2020.0,35609.0,3018.0,4654.0,4303.0,4370.0,6015.0,5390.0,4369.0,2315.0,990.0,170.0,15.0
86,강일동,2021.0,32794.0,3006.0,3651.0,3574.0,4627.0,5353.0,4719.0,4612.0,2211.0,869.0,167.0,5.0
87,강일동,2022.0,32866.0,2956.0,3588.0,3462.0,4321.0,5427.0,4747.0,4832.0,2395.0,960.0,172.0,6.0
88,개봉동,2012.0,30377.333333333332,2701.3333333333335,3123.6666666666665,4070.3333333333335,5646.0,4620.666666666667,5073.333333333333,3188.6666666666665,1477.0,407.6666666666667,63.666666666666664,5.0
89,개봉동,2013.0,30160.666666666668,2655.0,2990.6666666666665,3944.3333333333335,5443.666666666667,4655.333333333333,5022.0,3347.0,1595.6666666666667,433.3333333333333,68.66666666666667,5.0
90,개봉동,2014.0,30562.666666666668,2646.6666666666665,2896.3333333333335,3899.6666666666665,5362.666666666667,4803.333333333333,5070.333333333333,3584.0,1734.3333333333333,487.0,72.66666666666667,5.666666666666667
91,개봉동,2015.0,30514.333333333332,2658.6666666666665,2757.6666666666665,3893.3333333333335,5188.333333333333,4795.333333333333,4982.666666666667,3790.0,1825.3333333333333,542.0,74.66666666666667,6.333333333333333
92,개봉동,2016.0,30330.0,2586.0,2614.0,3835.6666666666665,4967.0,4760.0,4980.0,3960.6666666666665,1948.6666666666667,591.0,80.0,7.0
93,개봉동,2017.0,29934.0,2414.0,2503.3333333333335,3765.6666666666665,4740.0,4700.666666666667,4873.0,4071.6666666666665,2137.6666666666665,630.6666666666666,89.66666666666667,7.666666666666667
94,개봉동,2018.0,29459.0,2257.3333333333335,2380.6666666666665,3719.6666666666665,4533.0,4544.666666666667,4805.0,4149.333333333333,2262.3333333333335,706.3333333333334,91.66666666666667,9.0
95,개봉동,2019.0,28914.333333333332,2071.0,2204.0,3643.3333333333335,4236.0,4426.0,4729.666666666667,4327.666666666667,2381.0,784.0,103.0,8.666666666666666
96,개봉동,2020.0,28982.666666666668,1858.6666666666667,2087.0,3701.6666666666665,4146.666666666667,4347.666666666667,4779.666666666667,4542.0,2523.0,873.3333333333334,112.66666666666667,10.333333333333334
97,개봉동,2021.0,28297.0,1726.6666666666667,1954.0,3538.0,3957.6666666666665,4174.666666666667,4646.333333333333,4667.333333333333,2573.3333333333335,934.6666666666666,120.33333333333333,4.0
98,개봉동,2022.0,27840.0,1608.6666666666667,1876.6666666666667,3335.3333333333335,3899.0,4073.3333333333335,4546.333333333333,4698.666666666667,2656.3333333333335,1027.6666666666667,115.0,3.0
99,개포동,2012.0,25265.5,1818.0,3569.0,3730.25,4137.5,4569.75,4164.25,2048.25,842.75,323.25,58.25,4.25
100,개포동,2013.0,24794.25,1727.75,3306.0,3654.75,4085.75,4429.75,4185.0,2150.25,862.75,324.75,62.5,5.0
101,개포동,2014.0,24223.75,1640.0,3004.0,3603.5,3992.5,4192.75,4186.0,2296.25,905.25,333.75,63.5,6.25
102,개포동,2015.0,21851.25,1477.75,2529.0,3190.25,3571.25,3705.75,3768.75,2300.0,913.25,324.0,65.0,6.25
103,개포동,2016.0,19406.0,1224.5,2142.5,2856.5,2944.75,3232.75,3411.75,2276.0,932.0,315.75,62.25,7.25
104,개포동,2017.0,13896.4,843.4,1489.2,2021.4,1997.8,2291.0,2426.8,1766.8,758.2,244.6,51.6,5.6
